relative_time,AccX,AccY,AccZ
0,0.6089337158203125,-0.2022294616699219,9.486073608398438
69,-0.20657043457031252,-0.15822097778320313,9.047186279296875
134,-1.1885284423828126,-0.7668553161621094,9.746232604980468
201,-0.6682104492187501,-1.0457254028320313,10.400671691894532
270,0.04460723876953125,-1.2156221008300783,9.888436889648437
334,0.48289581298828127,-1.4127621459960937,10.264305267333985
400,0.5105882263183594,-1.452429656982422,10.137967987060547
470,0.037272491455078126,-1.412911834716797,9.897268524169922
534,-0.5733078002929688,-1.3046868896484376,9.997410278320313
600,-1.3781840515136718,-1.2304412841796875,10.256072387695314
670,-1.7378860473632813,-1.0659333801269533,9.765542449951173
734,-1.839225311279297,-1.0000703430175781,9.548344116210938
800,-1.6351995849609375,-1.005908203125,9.72422836303711
870,-1.093326416015625,-1.0820997619628907,9.652677154541015
934,-0.5529501342773437,-1.20469482421875,9.569599914550782
1000,-0.23231689453125,-1.325643310546875,9.505084075927735
1070,-0.16585510253906252,-1.4715898132324219,9.752818908691406
1134,-0.47990203857421876,-1.6073574829101562,10.438243560791015
1200,-0.8837622070312501,-1.5564633178710938,10.398126983642578
1270,-1.2620256042480469,-1.3865666198730469,10.039772186279297
1334,-1.4025833129882814,-1.251248016357422,10.101893005371094
1400,-1.2169692993164063,-1.093176727294922,10.103689270019531
1470,-0.7212002563476563,-0.9502239990234376,9.917476501464844
1534,-0.19699035644531251,-0.863404541015625,9.45029800415039
1601,0.27258316040039066,-0.8831634521484375,9.257798309326173
1670,0.45834686279296877,-0.9773176574707032,9.18684585571289
1734,0.3799099731445313,-1.105151824951172,9.347461853027344
1800,0.044756927490234376,-1.2371772766113283,9.541009368896486
1871,-0.42691223144531254,-1.357826385498047,9.981842651367188
1934,-0.787811737060547,-1.3684542846679688,10.091564483642578
2000,-1.0050100708007812,-1.3013937377929687,9.98289047241211
2070,-1.0196795654296875,-1.2235556030273438,10.251432037353515
2134,-0.860859832763672,-1.1421249389648438,10.286459197998047
2200,-0.6240522766113281,-1.0565029907226564,10.151439971923828
2270,-0.4710704040527344,-1.0472222900390626,9.760003967285156
2334,-0.49052993774414066,-1.0612930297851564,9.338480529785157
2400,-0.7300318908691407,-1.227447509765625,9.695039062500001
2469,-0.9693841552734376,-1.2765454101562501,9.348809051513673
2534,-1.2124786376953125,-1.3871653747558594,9.645791473388673
2601,-1.3618679809570313,-1.4296769714355468,9.895023193359375
2670,-1.2759466552734375,-1.398541717529297,9.830806732177734
2734,-1.088386688232422,-1.3299842834472657,9.942025451660157
2801,-0.7798782348632813,-1.2638218688964844,10.125394134521486
2870,-0.4794529724121094,-1.1576925659179689,10.116412811279297
2934,-0.3297642517089844,-1.0726693725585938,9.942773895263672
3000,-0.31255004882812504,-1.082548828125,10.046657867431641
3070,-0.4044589233398438,-1.1349398803710937,10.06342300415039
3134,-0.5182223510742188,-1.2102333068847657,9.920320587158203
3201,-0.5522016906738282,-1.2415182495117187,9.549990692138673
3269,-0.5053491210937501,-1.3102253723144532,9.490264892578125
3334,-0.3641926574707031,-1.337468719482422,9.593550109863282
3401,-0.209564208984375,-1.2960049438476564,9.56331298828125
3470,-0.10133926391601562,-1.2576846313476564,9.688452758789063
3534,-0.12558883666992188,-1.1918215942382813,9.883347473144532
3600,-0.26839187622070315,-1.132694549560547,9.902507629394531
3669,-0.5596861267089844,-1.093326416015625,9.99247055053711
3734,-0.8065228271484376,-1.1175759887695313,10.072853393554688
3800,-1.0014175415039064,-1.1596385192871095,10.09351043701172
3870,-1.0517129516601562,-1.1822415161132813,9.874066772460939
3933,-1.003363494873047,-1.21906494140625,9.89232879638672
4001,-0.8743318176269532,-1.2207115173339844,9.802515563964844
4070,-0.7536827087402345,-1.1838880920410157,9.481133880615236
4134,-0.7129673767089844,-1.1431727600097656,9.349258117675781
4200,-0.7789801025390626,-1.1201206970214845,9.588909759521485
4269,-0.9144483947753906,-1.1129356384277345,9.80086898803711
4334,-0.9794132995605469,-1.0882369995117187,9.852960662841797
4401,-1.0071057128906251,-1.0870394897460938,9.828561401367187
4470,-0.9181906127929688,-1.1305989074707032,9.972262573242189
4534,-0.7846682739257813,-1.2085867309570313,10.177036743164063
4601,-0.5517526245117188,-1.2882211303710938,10.238409118652344
4670,-0.36598892211914064,-1.3632151794433593,10.062225494384766
4734,-0.2609074401855469,-1.3763877868652346,9.776619415283204
4801,-0.2628533935546875,-1.4073733520507814,9.665999450683595
4870,-0.32706985473632816,-1.4066249084472657,9.681417388916016
4934,-0.40924896240234376,-1.4033317565917969,9.739795989990235
5001,-0.45295806884765627,-1.34360595703125,9.612710266113282
5070,-0.4584965515136719,-1.2870236206054688,9.556876373291017
5134,-0.43260040283203127,-1.2591815185546875,9.724378051757814
5200,-0.39652542114257816,-1.2187655639648438,9.750423889160157
5270,-0.4101470947265625,-1.2079879760742187,9.974507904052734
5334,-0.48873367309570315,-1.2027488708496095,10.09216323852539
5401,-0.5986051940917969,-1.174607391357422,10.023007049560547
5470,-0.7444020080566407,-1.14242431640625,9.8483203125
5534,-0.8819659423828126,-1.1205697631835938,9.867480468750001
5601,-0.93645263671875,-1.1002120971679688,9.83155517578125
5670,-0.923280029296875,-1.0425819396972658,9.655820617675781
5734,-0.8437953186035156,-0.9822573852539063,9.492510223388672
5801,-0.8158035278320312,-0.9774673461914063,9.720785522460938
5869,-0.7378157043457032,-0.9601034545898438,9.503736877441407
5934,-0.7256909179687501,-0.9960287475585938,9.628128204345703
6001,-0.7485932922363282,-1.0789562988281252,9.850865020751954
6069,-0.7903564453125,-1.1826905822753906,10.09740234375
6134,-0.7957452392578125,-1.2466076660156251,10.084229736328126
6201,-0.7593708801269532,-1.3069322204589844,10.022857360839843
6270,-0.6824308776855469,-1.3777349853515626,10.13227981567383
6334,-0.5739065551757813,-1.36037109375,9.823771362304688
6401,-0.4537065124511719,-1.3620176696777344,9.642049255371095
6469,-0.37931121826171876,-1.3834231567382813,9.647438049316406
6534,-0.33245864868164066,-1.3904585266113283,9.720186767578125
6601,-0.34173934936523437,-1.3789324951171875,9.513915710449218
6670,-0.41044647216796876,-1.3888119506835939,9.63755859375
6733,-0.4710704040527344,-1.389111328125,9.699679412841798
6800,-0.5272036743164062,-1.3858181762695314,9.797426147460937
6870,-0.5659730529785156,-1.3750405883789063,9.986932067871095
6934,-0.5766009521484375,-1.3186079406738282,9.966275024414063
7000,-0.5795947265625,-1.252445526123047,10.017019500732422
7070,-0.5774990844726563,-1.1581416320800781,9.882898406982422
7134,-0.6249504089355469,-1.0794053649902344,9.88708969116211
7201,-0.6930587768554688,-0.9976753234863281,9.790540466308594
7270,-0.7527845764160157,-0.9243278503417969,9.602830810546875
7334,-0.8330177307128906,-0.8851094055175782,9.583071899414064
